Item,Value
OS Name,Microsoft Windows 11 Pro
Version,10.0.26100 Build 26100
Other OS Description,Not Available
OS Manufacturer,Microsoft Corporation
System Manufacturer,ASUS
System Model,System Product Name
System Type,x64-based PC
System SKU,SKU
Processor,"AMD Ryzen 9 7900X3D 12-Core Processor, 4401 Mhz, 12 Core(s), 24 Logical Processor(s)"
BIOS Version/Date,"American Megatrends Inc. 1813, 13/10/2023"
SMBIOS Version,3.5
Embedded Controller Version,255.255
BIOS Mode,UEFI
BaseBoard Manufacturer,ASUSTeK COMPUTER INC.
BaseBoard Product,PRIME X670E-PRO WIFI
BaseBoard Version,Rev 1.xx
Platform Role,Desktop
Installed Physical Memory (RAM),64.0 GB
