Track,Model,Score,Duraction (seconds)
Track 1,base,100,1
Track 1,small,100,3.8
Track 1,medium,100,10.9
Track 1,large-v3,100,19.7
Track 2,base,12.08,1.6
Track 2,small,96.65,3.6
Track 2,medium,100,9.7
Track 2,large-v3,100,18.5
Track 3,base,94.98,8.2
Track 3,small,97.26,18.9
Track 3,medium,97.16,51.2
Track 3,large-v3,84.13,140
Track 4,base,17.77,11.2
Track 4,small,16.63,37.2
Track 4,medium,9.9,64
Track 4,large-v3,23.08,120
Track 5,base,69.38,10.6
Track 5,small,74.65,24.9
Track 5,medium,49.73,65
Track 5,large-v3,83.77,117.9
Track 6,base,4.82,9.6
Track 6,small,25.58,21.9
Track 6,medium,23.95,61.9
Track 6,large-v3,23.09,113.9
Track 7,base,10.58,4.5
Track 7,small,95.7,11.8
Track 7,medium,95.53,34
Track 7,large-v3,34.72,46.6
Track 8,base,99.7,4.2
Track 8,small,99.89,12
Track 8,medium,99.84,29.6
Track 8,large-v3,95.19,98.3
Track 9,base,28.8,3.2
Track 9,small,47.21,8.4
Track 9,medium,37.5,32.9
Track 9,large-v3,99.32,75.8
Track 10,base,8.94,4.5
Track 10,small,41.79,12
Track 10,medium,47.58,31.1
Track 10,large-v3,47.66,62.6
